No.,Time,CO2(ppm),Temperature(°C),Relative Humidity(%RH)
103, 04/28/22 03:14:47,416,22.1,19.9
104, 04/28/22 03:19:47,417,22.1,19.9
105, 04/28/22 03:24:47,417,22.1,19.9
106, 04/28/22 03:29:47,417,22.1,20
107, 04/28/22 03:34:47,416,22.1,20
108, 04/28/22 03:39:47,415,22.1,19.9
109, 04/28/22 03:44:47,416,22.1,20
110, 04/28/22 03:49:47,416,22.1,20
111, 04/28/22 03:54:47,416,22.1,20
112, 04/28/22 03:59:47,415,22.1,20
113, 04/28/22 04:04:47,415,22.1,20
114, 04/28/22 04:09:47,416,22.1,20
115, 04/28/22 04:14:47,415,22.1,20
116, 04/28/22 04:19:47,414,22.1,20.1
117, 04/28/22 04:24:47,415,22.1,20.1
118, 04/28/22 04:29:47,414,22.1,20.1
119, 04/28/22 04:34:47,413,22.1,20.1
120, 04/28/22 04:39:47,413,22.1,20.1
121, 04/28/22 04:44:47,413,22.1,20.1
122, 04/28/22 04:49:47,413,22.1,20.1
123, 04/28/22 04:54:47,415,22.1,20.2
124, 04/28/22 04:59:47,414,22.1,20.2
125, 04/28/22 05:04:47,413,22.1,20.2
126, 04/28/22 05:09:47,414,22.1,20.2
127, 04/28/22 05:14:47,413,22.1,20.2
128, 04/28/22 05:19:47,414,22.1,20.2
129, 04/28/22 05:24:47,414,22.1,20.2
130, 04/28/22 05:29:47,414,22.1,20.3
131, 04/28/22 05:34:47,413,22.1,20.2
132, 04/28/22 05:39:47,414,22.1,20.3
133, 04/28/22 05:44:47,414,22.1,20.3
134, 04/28/22 05:49:47,414,22.1,20.3
135, 04/28/22 05:54:47,413,22.1,20.3
136, 04/28/22 05:59:47,413,22.1,20.4
137, 04/28/22 06:04:47,414,22.1,20.4
138, 04/28/22 06:09:47,413,22.1,20.4
139, 04/28/22 06:14:47,412,22.1,20.4
140, 04/28/22 06:19:47,412,22.1,20.4
141, 04/28/22 06:24:47,413,22.1,20.4
142, 04/28/22 06:29:47,413,22.1,20.4
143, 04/28/22 06:34:47,413,22.1,20.4
144, 04/28/22 06:39:47,412,22.1,20.4
145, 04/28/22 06:44:47,411,22.1,20.4
146, 04/28/22 06:49:47,412,22.1,20.4
147, 04/28/22 06:54:47,413,22.1,20.4
148, 04/28/22 06:59:47,412,22.1,20.4
149, 04/28/22 07:04:47,412,22.1,20
150, 04/28/22 07:09:47,414,22.1,19.6
151, 04/28/22 07:14:47,414,22,19.1
152, 04/28/22 07:19:47,417,22,18.9
153, 04/28/22 07:24:47,417,22,18.6
154, 04/28/22 07:29:47,417,22,18.4
155, 04/28/22 07:34:47,418,22,18.2
156, 04/28/22 07:39:47,417,21.9,18
157, 04/28/22 07:44:47,418,21.9,17.9
158, 04/28/22 07:49:47,418,21.9,17.7
159, 04/28/22 07:54:47,418,21.9,17.7
160, 04/28/22 07:59:47,418,22,17.6
161, 04/28/22 08:04:47,417,22,17.3
162, 04/28/22 08:09:47,417,22,17.2
163, 04/28/22 08:14:47,417,22,17.1
164, 04/28/22 08:19:47,418,22,17
165, 04/28/22 08:24:47,419,21.9,16.9
166, 04/28/22 08:29:47,421,21.9,16.7
167, 04/28/22 08:34:47,421,21.9,16.5
168, 04/28/22 08:39:47,421,22,16.5
169, 04/28/22 08:44:47,419,22,16.5
170, 04/28/22 08:49:47,419,22,16.5
171, 04/28/22 08:54:47,419,22,16.3
172, 04/28/22 08:59:47,420,22.1,16.3
173, 04/28/22 09:04:47,420,22.1,16.1
174, 04/28/22 09:09:47,420,22.1,15.9
175, 04/28/22 09:14:47,420,22,15.7
176, 04/28/22 09:19:47,420,22,15.6
177, 04/28/22 09:24:47,420,22,15.4
178, 04/28/22 09:29:47,423,22,15.2
179, 04/28/22 09:34:47,422,22,15
180, 04/28/22 09:39:47,423,22.1,15
181, 04/28/22 09:44:47,426,22.1,14.9
182, 04/28/22 09:49:47,427,22.1,14.8
183, 04/28/22 09:54:47,427,22.1,14.8
184, 04/28/22 09:59:47,427,22.1,14.6
185, 04/28/22 10:04:47,429,22.1,14.5
186, 04/28/22 10:09:47,429,22.1,14.5
187, 04/28/22 10:14:47,428,22.1,14.5
188, 04/28/22 10:19:47,431,22,14.5
189, 04/28/22 10:24:47,431,22.1,14.4
190, 04/28/22 10:29:47,429,22.1,14.4
191, 04/28/22 10:34:47,445,22.1,14.7
192, 04/28/22 10:39:47,465,22.2,14.9
193, 04/28/22 10:44:47,478,22.3,14.9
194, 04/28/22 10:49:47,476,22.3,14.8
195, 04/28/22 10:54:47,479,22.4,14.9
196, 04/28/22 10:59:47,482,22.4,14.9
197, 04/28/22 11:04:47,477,22.4,14.7
198, 04/28/22 11:09:47,478,22.4,14.8
199, 04/28/22 11:14:47,478,22.3,14.8
200, 04/28/22 11:19:47,474,22.4,14.7
201, 04/28/22 11:24:47,477,22.4,14.7
202, 04/28/22 11:29:47,481,22.4,14.7
203, 04/28/22 11:34:47,476,22.4,14.6
204, 04/28/22 11:39:47,479,22.4,14.8
205, 04/28/22 11:44:47,484,22.4,14.8
206, 04/28/22 11:49:47,479,22.4,14.7
207, 04/28/22 11:54:47,474,22.4,14.8
208, 04/28/22 11:59:47,473,22.4,14.8
209, 04/28/22 12:04:47,468,22.4,14.7
210, 04/28/22 12:09:47,452,22.4,14.7
211, 04/28/22 12:14:47,441,22.3,14.6
212, 04/28/22 12:19:47,435,22.3,14.4
213, 04/28/22 12:24:47,429,22.3,14.2
214, 04/28/22 12:29:47,426,22.3,14.2
215, 04/28/22 12:34:47,425,22.3,14.2
216, 04/28/22 12:39:47,424,22.4,14.4
217, 04/28/22 12:44:47,424,22.4,14.4
218, 04/28/22 12:49:47,424,22.4,14.5
219, 04/28/22 12:54:47,424,22.4,14.6
220, 04/28/22 12:59:47,423,22.4,14.6
221, 04/28/22 13:04:47,423,22.3,14.7
222, 04/28/22 13:09:47,422,22.3,14.8
223, 04/28/22 13:14:47,422,22.3,15
224, 04/28/22 13:19:47,421,22.3,14.9
225, 04/28/22 13:24:47,422,22.3,14.9
226, 04/28/22 13:29:47,421,22.3,15
227, 04/28/22 13:34:47,422,22.2,15
228, 04/28/22 13:39:47,422,22.2,15.1
229, 04/28/22 13:44:47,422,22.2,15.4
230, 04/28/22 13:49:47,421,22.2,15.6
231, 04/28/22 13:54:47,423,22.2,15.8
232, 04/28/22 13:59:47,421,22.2,16
233, 04/28/22 14:04:47,422,22.2,16.6
234, 04/28/22 14:09:47,423,22.2,17.1
235, 04/28/22 14:14:47,423,22.1,17.5
236, 04/28/22 14:19:47,422,22.1,17.7
237, 04/28/22 14:24:47,422,22.1,18
238, 04/28/22 14:29:47,422,22.1,18.3
239, 04/28/22 14:34:47,421,22.1,18.4
240, 04/28/22 14:39:47,422,22.1,18.9
241, 04/28/22 14:44:47,422,22.1,19.5
242, 04/28/22 14:49:47,421,22.1,20.3
243, 04/28/22 14:54:47,421,22.1,21.1
244, 04/28/22 14:59:47,421,22.1,21.5
245, 04/28/22 15:04:47,422,22.1,21.6
246, 04/28/22 15:09:47,421,22.1,21.7
247, 04/28/22 15:14:47,421,22.1,21.8
248, 04/28/22 15:19:47,422,22.1,21.6
249, 04/28/22 15:24:47,422,22.1,21.7
250, 04/28/22 15:29:47,422,22.1,21.6
251, 04/28/22 15:34:47,422,22.1,21.2
252, 04/28/22 15:39:47,420,22.1,21
253, 04/28/22 15:44:47,420,22.1,20.8
254, 04/28/22 15:49:47,420,22.1,20.8
255, 04/28/22 15:54:47,419,22.1,20.7
256, 04/28/22 15:59:47,420,22.1,20.7
257, 04/28/22 16:04:47,420,22.1,20.4
258, 04/28/22 16:09:47,421,22.1,20.6
259, 04/28/22 16:14:47,422,22,20.7
260, 04/28/22 16:19:47,445,22.1,21
261, 04/28/22 16:24:47,456,22.1,21.2
262, 04/28/22 16:29:47,454,22.2,21.2
263, 04/28/22 16:34:47,458,22.2,21.2
264, 04/28/22 16:39:47,462,22.2,21.2
265, 04/28/22 16:44:47,462,22.2,21.1
266, 04/28/22 16:49:47,462,22.2,21
267, 04/28/22 16:54:47,463,22.1,20.9
268, 04/28/22 16:59:47,461,22.1,20.8
269, 04/28/22 17:04:47,459,22.1,20.8
270, 04/28/22 17:09:47,458,22.1,21
271, 04/28/22 17:14:47,458,22.2,21.2
272, 04/28/22 17:19:47,458,22.2,21.3
273, 04/28/22 17:24:47,458,22.1,21.5
274, 04/28/22 17:29:47,460,22.1,21.9
275, 04/28/22 17:34:47,460,22.1,22.1
276, 04/28/22 17:39:47,461,22.1,22.2
277, 04/28/22 17:44:47,449,22.1,22.3
278, 04/28/22 17:49:47,444,22.1,22.4
279, 04/28/22 17:54:47,444,22.1,22.5
280, 04/28/22 17:59:47,443,22.1,22.5
281, 04/28/22 18:04:47,443,22.2,22.5
282, 04/28/22 18:09:47,439,22.2,22.5
283, 04/28/22 18:14:47,435,22.2,22.4
284, 04/28/22 18:19:47,432,22.2,22.3
285, 04/28/22 18:24:47,434,22.3,22.3
286, 04/28/22 18:29:47,435,22.3,22.3
287, 04/28/22 18:34:47,436,22.3,22.4
288, 04/28/22 18:39:47,435,22.3,22.4
289, 04/28/22 18:44:47,435,22.3,22.5
290, 04/28/22 18:49:47,434,22.3,22.5
291, 04/28/22 18:54:47,433,22.3,22.5
292, 04/28/22 18:59:47,430,22.3,22.7
293, 04/28/22 19:04:47,425,22.2,22.9
294, 04/28/22 19:09:47,422,22.2,23.3
295, 04/28/22 19:14:47,420,22.1,23.5
296, 04/28/22 19:19:47,422,22.1,23.6
297, 04/28/22 19:24:47,421,22.1,23.8
298, 04/28/22 19:29:47,420,22.2,23.8
299, 04/28/22 19:34:47,419,22.2,23.7
300, 04/28/22 19:39:47,419,22.2,23.7
301, 04/28/22 19:44:47,418,22.1,23.8
302, 04/28/22 19:49:47,417,22.1,23.7
303, 04/28/22 19:54:47,419,22.1,23.6
304, 04/28/22 19:59:47,418,22.1,23.6
305, 04/28/22 20:04:47,418,22.1,23.5
306, 04/28/22 20:09:47,418,22.1,23.5
307, 04/28/22 20:14:47,419,22.1,23.4
308, 04/28/22 20:19:47,419,22.1,23.4
309, 04/28/22 20:24:47,417,22.2,23.4
310, 04/28/22 20:29:47,418,22.2,23.3
311, 04/28/22 20:34:47,419,22.3,23.2
312, 04/28/22 20:39:47,418,22.2,23.2
313, 04/28/22 20:44:47,418,22.2,23.2
314, 04/28/22 20:49:47,419,22.2,23.2
315, 04/28/22 20:54:47,419,22.2,23.2
316, 04/28/22 20:59:47,419,22.2,23.2
317, 04/28/22 21:04:47,418,22.1,23.1
318, 04/28/22 21:09:47,419,22.1,23.2
319, 04/28/22 21:14:47,421,22.1,23.1
320, 04/28/22 21:19:47,420,22.1,23.1
321, 04/28/22 21:24:47,420,22.2,23.1
322, 04/28/22 21:29:47,420,22.2,23
323, 04/28/22 21:34:47,420,22.2,23
324, 04/28/22 21:39:47,421,22.2,23.1
325, 04/28/22 21:44:47,420,22.1,23.1
326, 04/28/22 21:49:47,420,22.1,23.1
327, 04/28/22 21:54:47,422,22.1,23.1
328, 04/28/22 21:59:47,423,22.1,23.1
329, 04/28/22 22:04:47,423,22.2,23
330, 04/28/22 22:09:47,421,22.3,23
331, 04/28/22 22:14:47,423,22.3,23
332, 04/28/22 22:19:47,424,22.3,23
333, 04/28/22 22:24:47,426,22.3,23
334, 04/28/22 22:29:47,424,22.3,22.9
335, 04/28/22 22:34:47,424,22.3,22.9
336, 04/28/22 22:39:47,425,22.3,22.9
337, 04/28/22 22:44:47,426,22.3,22.9
338, 04/28/22 22:49:47,426,22.4,22.8
339, 04/28/22 22:54:47,427,22.4,22.9
340, 04/28/22 22:59:47,427,22.3,22.9
341, 04/28/22 23:04:47,428,22.3,22.9
342, 04/28/22 23:09:47,429,22.3,22.9
343, 04/28/22 23:14:47,428,22.3,22.8
344, 04/28/22 23:19:47,429,22.3,22.8
345, 04/28/22 23:24:47,429,22.3,22.8
346, 04/28/22 23:29:47,430,22.4,22.9
347, 04/28/22 23:34:47,430,22.4,22.8
348, 04/28/22 23:39:47,430,22.4,22.8
349, 04/28/22 23:44:47,431,22.3,22.8
350, 04/28/22 23:49:47,431,22.3,22.9
351, 04/28/22 23:54:47,430,22.3,22.9
352, 04/28/22 23:59:47,432,22.3,22.9
353, 04/29/22 00:04:47,432,22.3,22.8
354, 04/29/22 00:09:47,432,22.3,22.9
355, 04/29/22 00:14:47,432,22.3,22.8
356, 04/29/22 00:19:47,433,22.3,22.8
357, 04/29/22 00:24:47,434,22.3,22.9
358, 04/29/22 00:29:47,434,22.3,22.9
359, 04/29/22 00:34:47,434,22.3,22.9
360, 04/29/22 00:39:47,435,22.3,22.9
361, 04/29/22 00:44:47,436,22.3,22.9
362, 04/29/22 00:49:47,436,22.3,22.9
363, 04/29/22 00:54:47,436,22.3,22.9
364, 04/29/22 00:59:47,437,22.4,22.9
365, 04/29/22 01:04:47,437,22.3,22.9
366, 04/29/22 01:09:47,438,22.3,22.9
367, 04/29/22 01:14:47,438,22.3,22.9
368, 04/29/22 01:19:47,438,22.3,22.9
369, 04/29/22 01:24:47,439,22.3,22.9
370, 04/29/22 01:29:47,439,22.3,22.9
371, 04/29/22 01:34:47,440,22.3,22.9
372, 04/29/22 01:39:47,440,22.3,22.9
373, 04/29/22 01:44:47,441,22.3,22.9
374, 04/29/22 01:49:47,441,22.3,23
375, 04/29/22 01:54:47,441,22.3,23
376, 04/29/22 01:59:47,442,22.2,23
377, 04/29/22 02:04:47,441,22.2,23
378, 04/29/22 02:09:47,442,22.2,23.1
379, 04/29/22 02:14:47,442,22.2,23.1
380, 04/29/22 02:19:47,441,22.3,23
381, 04/29/22 02:24:47,440,22.3,23.1
382, 04/29/22 02:29:47,441,22.3,23
383, 04/29/22 02:34:47,441,22.3,23
384, 04/29/22 02:39:47,443,22.2,23
385, 04/29/22 02:44:47,443,22.2,23.1
386, 04/29/22 02:49:47,442,22.2,23.1
387, 04/29/22 02:54:47,442,22.2,23.1
388, 04/29/22 02:59:47,444,22.2,23.1
389, 04/29/22 03:04:47,443,22.2,23.1
390, 04/29/22 03:09:47,444,22.3,23
391, 04/29/22 03:14:47,444,22.3,23.1
392, 04/29/22 03:19:47,444,22.3,23
393, 04/29/22 03:24:47,444,22.3,23
394, 04/29/22 03:29:47,444,22.2,23.2
395, 04/29/22 03:34:47,445,22.2,23.2
396, 04/29/22 03:39:47,444,22.2,23.2
397, 04/29/22 03:44:47,446,22.2,23.2
398, 04/29/22 03:49:47,445,22.3,23.1
399, 04/29/22 03:54:47,445,22.3,23.1
400, 04/29/22 03:59:47,444,22.4,23
401, 04/29/22 04:04:47,445,22.4,23
402, 04/29/22 04:09:47,445,22.4,23
403, 04/29/22 04:14:47,446,22.4,23
404, 04/29/22 04:19:47,445,22.4,23
405, 04/29/22 04:24:47,444,22.4,23
406, 04/29/22 04:29:47,444,22.4,23
407, 04/29/22 04:34:47,445,22.4,23
408, 04/29/22 04:39:47,445,22.4,23
409, 04/29/22 04:44:47,445,22.4,23
410, 04/29/22 04:49:47,445,22.4,23
411, 04/29/22 04:54:47,445,22.4,23
412, 04/29/22 04:59:47,445,22.4,23
413, 04/29/22 05:04:47,444,22.4,23
414, 04/29/22 05:09:47,444,22.4,23.1
415, 04/29/22 05:14:47,445,22.4,23
416, 04/29/22 05:19:47,444,22.4,23
417, 04/29/22 05:24:47,444,22.4,23
418, 04/29/22 05:29:47,445,22.3,23.1
419, 04/29/22 05:34:47,444,22.3,23.1
420, 04/29/22 05:39:47,444,22.3,23.1
421, 04/29/22 05:44:47,444,22.3,23.2
422, 04/29/22 05:49:47,444,22.3,23.2
423, 04/29/22 05:54:47,444,22.3,23.1
424, 04/29/22 05:59:47,442,22.2,23.2
425, 04/29/22 06:04:47,443,22.2,23.2
426, 04/29/22 06:09:47,442,22.2,23.3
427, 04/29/22 06:14:47,442,22.2,23.3
428, 04/29/22 06:19:47,442,22.2,23.3
429, 04/29/22 06:24:47,444,22.3,23.2
430, 04/29/22 06:29:47,444,22.3,23.2
431, 04/29/22 06:34:47,444,22.3,23.1
432, 04/29/22 06:39:47,443,22.3,23.2
433, 04/29/22 06:44:47,443,22.2,23.2
434, 04/29/22 06:49:47,443,22.2,23.3
435, 04/29/22 06:54:47,444,22.2,23.3
436, 04/29/22 06:59:47,445,22.2,23.3
437, 04/29/22 07:04:47,444,22.2,23.2
438, 04/29/22 07:09:47,436,22.2,23.1
439, 04/29/22 07:14:47,432,22.2,23
440, 04/29/22 07:19:47,428,22.1,23
441, 04/29/22 07:24:47,425,22.1,23
442, 04/29/22 07:29:47,423,22.1,22.9
443, 04/29/22 07:34:47,423,22.1,22.8
444, 04/29/22 07:39:47,421,22.1,22.7
445, 04/29/22 07:44:47,420,22.1,22.5
446, 04/29/22 07:49:47,420,22.2,22.3
447, 04/29/22 07:54:47,420,22.2,22.2
448, 04/29/22 07:59:47,419,22.2,22.1
449, 04/29/22 08:04:47,417,22.2,22.2
450, 04/29/22 08:09:47,418,22.1,22.3
451, 04/29/22 08:14:47,420,22.1,22.4
452, 04/29/22 08:19:47,416,22.1,22.5
453, 04/29/22 08:24:47,417,22.1,22.5
454, 04/29/22 08:29:47,417,22.1,22.6
455, 04/29/22 08:34:47,417,22.1,22.6
456, 04/29/22 08:39:47,418,22.2,22.6
457, 04/29/22 08:44:47,417,22.2,22.6
458, 04/29/22 08:49:47,418,22.2,22.6
459, 04/29/22 08:54:47,420,22.2,22.7
460, 04/29/22 08:59:47,419,22.2,22.7
461, 04/29/22 09:04:47,419,22.2,22.6
462, 04/29/22 09:09:47,418,22.2,22.5
463, 04/29/22 09:14:47,417,22.1,22.6
464, 04/29/22 09:19:47,418,22.1,22.7
465, 04/29/22 09:24:47,417,22.1,22.6
466, 04/29/22 09:29:47,418,22.1,22.4
467, 04/29/22 09:34:47,417,22.1,22.4
468, 04/29/22 09:39:47,418,22.1,22.3
469, 04/29/22 09:44:47,418,22.1,22.2
470, 04/29/22 09:49:47,419,22.1,22
471, 04/29/22 09:54:47,422,22.1,21.8
472, 04/29/22 09:59:47,430,22.1,21.9
473, 04/29/22 10:04:47,437,22.2,22.1
474, 04/29/22 10:09:47,457,22.3,21.9
475, 04/29/22 10:14:47,494,22.4,22.4
476, 04/29/22 10:19:47,531,22.4,22.1
477, 04/29/22 10:24:47,563,22.5,22.4
478, 04/29/22 10:29:47,575,22.6,22.2
479, 04/29/22 10:34:47,560,22.5,21.4
480, 04/29/22 10:39:47,564,22.6,21.2
481, 04/29/22 10:44:47,570,22.6,21.3
482, 04/29/22 10:49:47,570,22.7,21
483, 04/29/22 10:54:47,574,22.7,20.8
484, 04/29/22 10:59:47,590,22.7,20.4
485, 04/29/22 11:04:47,592,22.7,20.4
486, 04/29/22 11:09:47,575,22.8,20.1
487, 04/29/22 11:14:47,582,22.7,19.5
488, 04/29/22 11:19:47,579,22.8,19
489, 04/29/22 11:24:47,572,22.7,18.8
490, 04/29/22 11:29:47,571,22.7,18.5
491, 04/29/22 11:34:47,567,22.7,18.2
492, 04/29/22 11:39:47,577,22.7,18.3
493, 04/29/22 11:44:47,544,22.6,17.6
494, 04/29/22 11:49:47,507,22.5,17.3
495, 04/29/22 11:54:47,487,22.5,17.4
496, 04/29/22 11:59:47,485,22.4,17.3
497, 04/29/22 12:04:47,475,22.4,17.4
498, 04/29/22 12:09:47,462,22.5,17.4
499, 04/29/22 12:14:47,456,22.5,17.5
500, 04/29/22 12:19:47,449,22.5,17.5
501, 04/29/22 12:24:47,446,22.5,17.6
502, 04/29/22 12:29:47,445,22.5,17.6
503, 04/29/22 12:34:47,442,22.5,17.5
504, 04/29/22 12:39:47,439,22.6,17.5
505, 04/29/22 12:44:47,438,22.6,17.5
506, 04/29/22 12:49:47,440,22.6,17.6
507, 04/29/22 12:54:47,441,22.6,17.6
508, 04/29/22 12:59:47,442,22.6,17.6
509, 04/29/22 13:04:47,450,22.6,17.5
510, 04/29/22 13:09:47,442,22.5,17.5
511, 04/29/22 13:14:47,441,22.5,17.8
512, 04/29/22 13:19:47,437,22.5,18
513, 04/29/22 13:24:47,440,22.4,17.9
514, 04/29/22 13:29:47,439,22.4,17.7
515, 04/29/22 13:34:47,438,22.4,17.5
516, 04/29/22 13:39:47,434,22.4,17.4
517, 04/29/22 13:44:47,433,22.3,17.2
518, 04/29/22 13:49:47,434,22.3,17.3
519, 04/29/22 13:54:47,435,22.3,17.4
520, 04/29/22 13:59:47,436,22.2,17.4
521, 04/29/22 14:04:47,435,22.2,17.5
522, 04/29/22 14:09:47,434,22.2,17.4
523, 04/29/22 14:14:47,431,22.2,17.5
524, 04/29/22 14:19:47,430,22.2,17.5
525, 04/29/22 14:24:47,430,22.2,17.4
526, 04/29/22 14:29:47,426,22.2,17.4
527, 04/29/22 14:34:47,425,22.1,17.4
528, 04/29/22 14:39:47,425,22.1,17.4
529, 04/29/22 14:44:47,424,22.1,17.2
530, 04/29/22 14:49:47,425,22.1,17.3
531, 04/29/22 14:54:47,425,22.1,17.3
532, 04/29/22 14:59:47,426,22.1,17.3
533, 04/29/22 15:04:47,426,22,17.3
534, 04/29/22 15:09:47,427,22,17.1
535, 04/29/22 15:14:47,427,22,17
536, 04/29/22 15:19:47,428,22,16.8
537, 04/29/22 15:24:47,426,22,16.7
538, 04/29/22 15:29:47,426,22,16.5
539, 04/29/22 15:34:47,425,22,16.3
540, 04/29/22 15:39:47,425,22,16.2
541, 04/29/22 15:44:47,424,22,16.2
542, 04/29/22 15:49:47,425,22,16.1
543, 04/29/22 15:54:47,427,21.9,16.1
544, 04/29/22 15:59:47,426,22,16.1
545, 04/29/22 16:04:47,425,22,16
546, 04/29/22 16:09:47,423,21.9,15.8
547, 04/29/22 16:14:47,423,21.9,15.7
548, 04/29/22 16:19:47,422,21.9,15.7
549, 04/29/22 16:24:47,423,21.9,15.6
550, 04/29/22 16:29:47,423,21.9,15.5
551, 04/29/22 16:34:47,422,21.9,15.4
552, 04/29/22 16:39:47,422,21.9,15.4
553, 04/29/22 16:44:47,422,21.9,15.4
554, 04/29/22 16:49:47,423,21.9,15.3
555, 04/29/22 16:54:47,423,21.9,15.2
556, 04/29/22 16:59:47,421,21.9,15.2
557, 04/29/22 17:04:47,421,21.9,15.2
558, 04/29/22 17:09:47,421,21.9,15.3
559, 04/29/22 17:14:47,421,21.9,15.4
560, 04/29/22 17:19:47,421,21.9,15.6
561, 04/29/22 17:24:47,420,21.9,15.8
562, 04/29/22 17:29:47,421,21.9,16
563, 04/29/22 17:34:47,421,21.9,16.2
564, 04/29/22 17:39:47,421,21.9,16.3
565, 04/29/22 17:44:47,420,21.9,16.4
566, 04/29/22 17:49:47,420,21.9,16.5
